"Sector Wise Projects"

"Sr.No.","Sector","Line Ministry","ProjectID","Project Name","Original Cost
(in Cr)","Latest Revised Cost
(in Cr)","Expenditure (Cumm.)
(in Cr)"
"1","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","400010","Construction of Terminal Building & Associated works at Leh Airport, Ladakh","480","640","512.55"
"2","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611047","Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.","861.37","861.37","370.44"
"3","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611495","Development of New Civil Enclave at Bagdogra Airport","1549","1549","548.3"
"4","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611570","SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL","500.48","500.48","399.77"
"5","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611602","Modernization of Chennai Airport, Phase II, Part 2","1207","1207","331.85"
"6","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612183","Development of New Civil Enclave at Bihta","1413","1413","15.53"
"7","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612194","Development of New Civil Enclave and associated works at Darbhanga Airport","911.66","911.66","426.22"
"8","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612786","Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport","265.91","265.91","176.38"
"9","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612787","Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport","320.47","320.47","169.11"
"10","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612788","Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.","322.45","322.45","240.99"
"11","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612789","Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28","484.57","484.57","242.51"
"12","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612791","Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.","328.3","328.3","153.52"
"13","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612793","Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.","323.26","323.26","87.61"
"14","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","618977","Development of New Greenfield Airport at Bundi, Kota Rajasthan.","1507","1507","81.41"
"15","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","619054","Development of Keshod Airport.","363.1","363.1","108.64"
"16","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701101","Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna","1216.9","1216.9","1203.48"
"17","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701107","Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.","611.8","824.28","572.99"
"18","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701113","Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.","2869.65","2869.65","746.93"
"19","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701121","Construction of New Domestic Terminal Building at Rajahmundry Airport.","347.15","347.15","189.48"
"20","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701122","Development of New Integrated Civil Enclave at Agra Airport","579","579","224.58"
"21","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701126","Development of Dholera International Greenfield Airport , Gujarat","1305","1551","966.36"
"22","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701127","Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.","480","480","348.2"
"23","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701128","Construction of New Integrated Passenger Terminal Building at Udaipur Airport","887","887","587.22"
"24","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","706718","C/o NITB Imphal Airport","499","499","212.17"
"25","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","706724","Guwahati Airport New Integrated Terminal Building Construction Project","1712","2520","2670.23"
"26","Coal","Ministry of Coal","400018","HURA C OCP","859.41","859.41","455.95"
"27","Coal","Ministry of Coal","400033","BHATADI EXPANSION OC","580.61","580.61","112.17"
"28","Coal","Ministry of Coal","400073","KONAR EXPANSION OCP","674.65","674.65","175.59"
"29","Coal","Ministry of Coal","400074","KARO EXPANSION OCP","849.31","849.31","237.61"
"30","Coal","Ministry of Coal","400136","SANGHMITRA OC","2660","2660","17.03"
"31","Coal","Ministry of Coal","400138","CHANDRAGUPT OCP","973.5","973.5","772.12"
"32","Coal","Ministry of Coal","400139","KOTRE BASANTPUR PACHMO OCP","625.4","625.4","456.48"
"33","Coal","Ministry of Coal","400142","Pachwara South Coal Block","2242.9","2242.9","1432.45"
"34","Coal","Ministry of Coal","400144","PORDA CHIMTAPANI OCP [10 MTY]","2310.12","2310.12","118.97"
"35","Coal","Ministry of Coal","400148","AMADAND OCP[4.0MTY]","869.44","869.44","325.09"
"36","Coal","Ministry of Coal","400149","BAROUD OC EXPANSION [3.0-10.0M","2309.8","2309.8","1039.65"
"37","Coal","Ministry of Coal","400150","RPR MAGADH EXP OCP","6964.33","6964.33","2299.77"
"38","Coal","Ministry of Coal","400151","NORTH URIMARI EXPANSION OCP","634.3","634.3","598.34"
"39","Coal","Ministry of Coal","400153","EPR ROHINI - KARKETTA OCP","995.57","995.57","85.34"
"40","Coal","Ministry of Coal","400154","EPR PUNDI OCP","639.6","639.6","14.78"
"41","Coal","Ministry of Coal","400155","EPR ASHOK OC","2821.07","2821.07","186.02"
"42","Coal","Ministry of Coal","400156","EPR AMRAPALI OCP","4983.57","4983.57","1838.82"
"43","Coal","Ministry of Coal","400160","RAJRAPPA RCE OCP","510.85","510.85","488.71"
"44","Coal","Ministry of Coal","400162","BLOCK B EXPANSION [3.5 TO 8.0","998.71","998.71","545.34"
"45","Coal","Ministry of Coal","400165","SUBHADRA OCP","1693.81","1693.81","1332.87"
"46","Coal","Ministry of Coal","400166","SIARMAL OCP","5194.95","5194.95","3543.45"
"47","Coal","Ministry of Coal","400172","CHITRA EAST OC","513.99","513.99","276"
"48","Coal","Ministry of Coal","400173","MOHANPUR EXPANSION OC -PHASE I","888.99","888.99","153.96"
"49","Coal","Ministry of Coal","400177","AMALGAMATED YEKONA I & YEKONA","727.28","727.28","564.25"
"50","Coal","Ministry of Coal","400178","DINESH[MAKARDHOKRA-III] OC","822.88","822.88","792"
"51","Coal","Ministry of Coal","400180","BONJEMEHARI EXPANSION OCP","570.11","570.11","98.58"
"52","Coal","Ministry of Coal","400181","NAKRAKONDA KUMARDIH- B OCP","502.68","502.67","88.9"
"53","Coal","Ministry of Coal","400183","BALARAM EXPANSION OCP","3504.21","3504.21","963.81"
"54","Coal","Ministry of Coal","400185","GOPALJI KANIHA OCP [10 TO 30 M","8416.19","6107.87","1777.54"
"55","Coal","Ministry of Coal","400186","TILABONI UG","749.08","749.07","53.97"
"56","Coal","Ministry of Coal","400187","INTEGRATED LAKHANPUR-BELPAHAR-","2434.75","2434.75","2133.7"
"57","Coal","Ministry of Coal","400312","JHANJRA EXPANSION UG","1210.12","1210.12","633.57"
"58","Coal","Ministry of Coal","400315","SONEPUR BAZARI EXPANSION OCP [","5365.88","5365.88","697.64"
"59","Coal","Ministry of Coal","400321","NIGAHI EXPANSION [15 TO 25 MTP","1729.68","1729.68","985.35"
"60","Coal","Ministry of Coal","400352","JHARKHAND-LAIYO OCP","654.87","654.87","1.97"
"61","Coal","Ministry of Coal","400353","DHUPTALA OC [SASTI UG TO OC ]","711.01","711.01","174.66"
"62","Coal","Ministry of Coal","400354","DIPKA EXPANSION OCP [40 MTY]","5241.4","5241.4","2941.23"
"63","Coal","Ministry of Coal","400369","BINA KAKRI AMALGAMATION EXPANS","836.42","836.42","917.1"
"64","Coal","Ministry of Coal","400392","BHARATPUR RE-ORGANIZATION OCP","2838.86","2838.86","1716.58"
"65","Coal","Ministry of Coal","400424","GEVRA OC [70 MTY]","11816.4","11816.4","7825.46"
"66","Coal","Ministry of Coal","400425","MOONIDIH XV SEAM UG","1230.27","1230.27","800.25"
"67","Coal","Ministry of Coal","611864","AMALAGAMATED NTST KUJAMA OCP 8.5MTY","4011.85","4011.85","414.97"
"68","Coal","Ministry of Coal","612816","ITAPARA OCP","929.1","929.1","132.43"
"69","Coal","Ministry of Coal","613793","SHYAMSUNDARPUR UG INCLUDING SA","483.65","483.65","96.8"
"70","Coal","Ministry of Coal","613794","PARASEA-BELBAID UG PROJECT","389.1","389.1","132.48"
"71","Coal","Ministry of Coal","613798","AMERA OC RCE [1.0 MTY]","335.97","335.97","91.91"
"72","Coal","Ministry of Coal","613799","AMGAON OC RCE [1.0 MTY]","316.11","316.11","193"
"73","Coal","Ministry of Coal","613800","JAGANNATHPUR OC RCE PROJECT","459.49","459.49","290.4"
"74","Coal","Ministry of Coal","613801","MAHAMAYA OCP [1.50 MTY]","410.26","410.26","188.72"
"75","Coal","Ministry of Coal","613802","KANCHAN OC EXP","371.04","371.04","157.9"
"76","Coal","Ministry of Coal","613803","JHIRIA WEST OCP [1.5 MTY]","366.94","366.94","37.19"
"77","Coal","Ministry of Coal","613804","RPR TAWA-III UG 0.84 MTY","314.09","314.09","17.9"
"78","Coal","Ministry of Coal","613808","MURAIDIH UG PROJECT","339.87","339.87","191.14"
"79","Coal","Ministry of Coal","615183","KHADIA EXPANSION [10 TO 16 MTP","491.67","491.67","379.69"
"80","Coal","Ministry of Coal","615184","SAONER UG MINE -1 EXPANSION 1.","228.64","228.64","157.01"
"81","Coal","Ministry of Coal","615185","AMALGAMATED DHANKASA & JAMUNIA","399.2","399.2","117.2"
"82","Coal","Ministry of Coal","615186","SASTI EXPANSION OPENCAST","319.04","319.04","155.37"
"83","Coal","Ministry of Coal","615187","RPR OF VISHNUPURI UG TO OC","220.62","220.62","0"
"84","Coal","Ministry of Coal","615188","NEW MAJRI UG TO OC 3 MTY COST","402.27","402.27","67.81"
"85","Coal","Ministry of Coal","615189","MAKARDHOKRA EXPN OC 4.9 MTY","361.87","361.87","104.17"
"86","Coal","Ministry of Coal","615190","SINGHORI DEEP OC MIN 2.0 MTY","335.75","335.75","53.94"
"87","Coal","Ministry of Coal","615191","KATKONA RO UG MINE","329.21","329.21","62.01"
"88","Coal","Ministry of Coal","615192","GOKUL EXTENSION OC MINE","309.58","309.58","62.31"
"89","Coal","Ministry of Coal","615194","URDHAN EXPANSION OC COST PLUS","206.88","206.88","50.69"
"90","Coal","Ministry of Coal","615195","SHARDA UG MINE","166.25","166.25","5.93"
"91","Coal","Ministry of Coal","615199","KOLGAON EXPANSION DEEP OC MINE","198.71","198.71","25.08"
"92","Coal","Ministry of Coal","615206","GANDHIGRAM UG MINE","414.15","414.15","28.54"
"93","Coal","Ministry of Coal","615330","BALLARPUR NORTH WEST OC MINE","360.81","360.81","26.97"
"94","Coal","Ministry of Coal","615331","GADEGAON OC 3 MTY","497.41","497.41","95.69"
"95","Coal","Ministry of Coal","615349","TAPIN SOUTH EXPN","230.41","230.41","22.02"
"96","Coal","Ministry of Coal","615818","Jawahar Khani Open Cast Mine","297.88","297.88","50.39"
"97","Coal","Ministry of Coal","615820","TIKAK EXTENSION OCP","159.77","159.77","112.69"
"98","Coal","Ministry of Coal","615821","TIRAP OCP","289.46","289.46","105.66"
"99","Coal","Ministry of Coal","615822","SIRKA OC","183.18","183.18","89.92"
"100","Coal","Ministry of Coal","615843","TETARIAKHAR OC","232.64","232.64","50.82"
"101","Coal","Ministry of Coal","615857","Naini Coal Mine","494.3","494.3","491.33"
"102","Coal","Ministry of Coal","615858","Kalyanikhani Opencast Project","384.32","384.32","304.39"
"103","Coal","Ministry of Coal","615860","Godavarikhani Coal Mine - 5","607.04","607.04","201"
"104","Coal","Ministry of Coal","615861","Indaram Opencast Project","424.81","424.81","408.69"
"105","Coal","Ministry of Coal","615862","Goleti Opencast Mine","345.6","345.6","111.94"
"106","Coal","Ministry of Coal","615863","Venkatesh Khani Coal Mine","484.5","484.5","477.14"
"107","Coal","Ministry of Coal","615865","Kakatiyakhani OC - 2 Project","442.42","442.42","253.41"
"108","Coal","Ministry of Coal","615914","GHONSA EXPANSION DEEP OC MINE","184.71","184.71","15.72"
"109","Coal","Ministry of Coal","615916","AMLG GAURI PAUNI EXPANSION OC","1225.21","1225.21","92.02"
"110","Coal","Ministry of Coal","615917","GAURIDEEP/GAURI CENTRAL OCP 7.","973.07","973.07","1.55"
"111","Coal","Ministry of Coal","615918","RPR OF BHANEGAON OC","405.2","405.2","43.16"
"112","Coal","Ministry of Coal","615919","N. EXTN. MUNGOLI NIRGUDA D OCP","1024.91","1024.91","218.26"
"113","Coal","Ministry of Coal","615982","NILJAI EXPANSION DEEP OCP","319.75","319.75","196.82"
"114","Coal","Ministry of Coal","616044","UKNI DEEP OC MINE -COST PLUS","237.06","237.06","168.91"
"115","Coal","Ministry of Coal","616050","AMALGAMATED INDER-KAMPTEE DEEP","235.9","235.9","128.49"
"116","Coal","Ministry of Coal","616223","ADASA UG TO OC MINE","316","316","209.29"
"117","Coal","Ministry of Coal","616225","CHUPERBHITA SIMLONG OCP MDO 6","979.08","979.08","0"
"118","Coal","Ministry of Coal","616226","INTEGRATED KULDA GARJANBAHAL O","3563.5","3563.5","692.76"
"119","Coal","Ministry of Coal","616229","AMAL GONDEGAON GHATROHANA EXPN","668.54","668.54","2.95"
"120","Coal","Ministry of Coal","616230","PARASCOLE JAMBAD OCP","1193.55","1193.55","11.81"
"121","Coal","Ministry of Coal","616231","BHUBANESWARI EXPN OCP 50 MTY","5366.27","5366.27","477.73"
"122","Coal","Ministry of Coal","616232","HINGULA II OC EXPN PH III 15 M","1561.85","1561.85","284.22"
"123","Coal","Ministry of Coal","616233","BALABHADRA OCP","978.44","978.44","461.54"
"124","Coal","Ministry of Coal","616234","PELMA OC MDO","1725.04","1725.04","16.71"
"125","Coal","Ministry of Coal","616236","JARANGDIH EXPN. OCP 1.5 MTY","372.06","372.06","85.6"
"126","Coal","Ministry of Coal","616253","BLOCK E OCP","5850.83","5850.83","20.32"
"127","Coal","Ministry of Coal","617233","WAGHODA UG MINE [1.02 MTY]","379.3","379.3","0"
"128","Coal","Ministry of Coal","617278","KOLARPIMPRI EXPANSION OC [2.5","630.37","630.37","0.61"
"129","Coal","Ministry of Coal","617287","KUSMUNDA OC EXPANSION PROJECT","4516.88","4516.88","847.19"
"130","Coal","Ministry of Coal","617288","MANIKPUR OC EXPANSION PROJECT","382.61","382.61","138.87"
"131","Coal","Ministry of Coal","617416","Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.","5940.47","5940.47","520.75"
"132","Coal","Ministry of Coal","617764","North Dhadu Western Part OCP","1354.2","1354.2","233.77"
"133","Coal","Ministry of Coal","618982","Talabira II & III OCP - FMC","522.45","522.45","334.44"
"134","Coal","Ministry of Coal","619032","JAYANT EXPN. [20 TO 38 MTPA]","25560.48","25560.48","333.3"
"135","Coal","Ministry of Coal","619053","RPR FOR RAMPUR BATURA OCP","1604.69","1604.69","75.28"
"136","Coal","Ministry of Coal","619055","SAONER-III EXPN UG MINE 1.54","444.42","444.42","0"
"137","Coal","Ministry of Coal","619171","RPR FOR DURGAPUR OCP 10 MTY","2415.91","2415.91","2.99"
"138","Coal","Ministry of Coal","619172","MADANNAGAR OCP 12 MTY - MDO","1859.19","1859.19","0.45"
"139","Coal","Ministry of Power","400192","Tubed Coal Mine","1581","1581","624.86"
"140","Coal","Ministry of Power","603293","Badam Coal Mining project of NTPC","502","784","438.57"
"141","Construction","Ministry of Housing & Urban Affairs","617412","Construction of One Tower of Office Complex and another Tower of Residential quarters i/c internal water supply, sanitary installation and all development and bulk services, Horticulture works on EPC Mode-I basis i/c comprehensive operation and maintenance of Civil, E&M services for 7 years after completion of original construction work for Ranga Reddy, Secunderabad, Medchal, AuditI, Audit-II Commissionerates of Central Tax at Khajaguda, Serilingampally, Hyderabad.","644","644","188.69"
"142","Construction","Ministry of Mines","617280","Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata","255.37","255.37","98.94"
"143","Education","Department of Higher Education","602098","Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K","424.93","500.91","484.52"
"144","Education","Department of Higher Education","602099","Establishment of Permanent campus Phase 1 of IIM Sirmaur","392.51","454.78","339.65"
"145","Education","Department of Higher Education","605292","Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I","348.31","386.86","293.24"
"146","Education","Department of Higher Education","606013","Additional Campus of NITPatna","499.21","499.21","449.96"
"147","Education","Department of Higher Education","606112","Tezpur University Projects","153.71","153.71","266.14"
"148","Education","Department of Higher Education","606431","CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A","1006.45","1217.4","686.2"
"149","Education","Department of Higher Education","606479","Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]","246","246","212.35"
"150","Education","Department of Higher Education","609019","HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur","500","442","418.86"
"151","Education","Department of Higher Education","609736","Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim","314.06","340.55","292"
"152","Education","Department of Higher Education","609996","Construction of Precast housing and hostels at IIT Hyderabad","262","262","223.65"
"153","Education","Department of Higher Education","610315","IISER BERHAMPUR","1229.32","843.09","874.09"
"154","Education","Department of Higher Education","611957","Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and Infrastructure for center of excellence]","496.28","496.28","97.35"
"155","Education","Department of Higher Education","611961","Construction of IIT Bhubaneswar -Phase III","454.27","454.27","102.15"
"156","Education","Department of Higher Education","611963","Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal","650.85","650.85","401.56"
"157","Education","Department of Higher Education","612128","Hostel blocks & dining hall block","166.66","166.66","138.26"
"158","Education","Department of Higher Education","612851","Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis","333.49","336.42","336.42"
"159","Education","Department of Higher Education","612876","Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl","474.23","474.23","167.55"
"160","Education","Department of Higher Education","612877","Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II]","618.34","544.34","543.74"
"161","Education","Department of Higher Education","612883","Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District","685.76","610.76","283.56"
"162","Education","Department of Higher Education","612885","Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra","494.52","429.7","377.82"
"163","Education","Department of Higher Education","612894","Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.","251.98","300.45","223.6"
"164","Education","Department of Higher Education","612898","Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh","592.61","592.61","551.3"
"165","Education","Department of Higher Education","612916","Construction of permanent campus of Central University of Gujarat at Village kundhela, Dist. Vadodara, Gujarat.","490.63","490.63","342.26"
"166","Education","Department of Higher Education","613008","Construction of Permanent Campus of Central Tribal University of Andhra Pradesh Phase-1","305","305","67.73"
"167","Education","Department of Higher Education","613013","Establishment of NIT Nagaland","275.63","275.63","263.25"
"168","Education","Department of Higher Education","616886","Delhi University Eastern Campus at Surajmal Vihar","373","373","31.53"
"169","Education","Department of Higher Education","617221","Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block, International Hostel 100 seater, VC Residence and Purchase of Equipment","210.99","210.99","99.02"
"170","Education","Department of Higher Education","617877","Phase B Construction of Permanent Campus of IIT Bhilai","1188.97","1188.97","1.92"
"171","Education","Department of Higher Education","617878","Phase B of Construction of Permanent Campus of IIT Palakkad","1527","1527","9.8"
"172","Education","Department of Higher Education","619033","1000 seater Boys hostel, 500 seater Girls hostel, 1.5 MLD Sewage Treatment Plant and Faculty Residence - 72 nos. Flats","198.97","198.97","53.01"
"173","Education","Department of Sports","400081","National Sports University [NSU], Imphal [Manipur]","906.47","611.74","577.32"
"174","Electricity Generation","Ministry of Coal","400231","NLC Talabira Thermal Power Project","27212.96","27212.96","3574.21"
"175","Electricity Generation","Ministry of Coal","617299","50 MW Wind Power Project","383.84","383.84","333.34"
"176","Electricity Generation","Ministry of Coal","617730","600 MW Khavda Solar Power Project","3335.85","3335.85","2122.95"
"177","Electricity Generation","Ministry of Coal","618981","810 MW Solar Power Project - Rajasthan","4147.07","4147.07","249.95"
"178","Electricity Generation","Ministry of Coal","618991","200 MW SPP part of 510 MW CPSU scheme","1221.41","1221.41","71.51"
"179","Electricity Generation","Ministry of Coal","618992","100 MW SPP part of SECI 150 MW Hybrid","480.68","480.68","2.75"
"180","Electricity Generation","Ministry of Power","298178","Meja Thermal Power Project, Stage-II , (3x800 MW)","38358","38358","1002.73"
"181","Electricity Generation","Ministry of Power","400062","Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal","17673","17673","2268.62"
"182","Electricity Generation","Ministry of Power","400261","Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW]","18668","20302","19735.72"
"183","Electricity Generation","Ministry of Power","602096","Subansiri Lower HE Project [2000 MW]","6285.33","26075.54","26448.07"
"184","Electricity Generation","Ministry of Power","602181","TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]","5748.04","5748.04","4572.68"
"185","Electricity Generation","Ministry of Power","602182","Dibang Multipurpose Project","31876.39","31876.39","4921.36"
"186","Electricity Generation","Ministry of Power","602184","Rammam-III HEPP [3x40 MW]","1381.84","2865.56","1690.73"
"187","Electricity Generation","Ministry of Power","602185","Tapovan-Vishnugad HEP [4x130 MW]","2978","10907.3","7827.81"
"188","Electricity Generation","Ministry of Power","602195","Vishnugad Pipalkoti Hydro Electric Project [444 MW]","3860.35","6405.08","5832.69"
"189","Electricity Generation","Ministry of Power","602525","Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW","8112.12","12728","9313.54"
"190","Electricity Generation","Ministry of Power","602532","Kiru HE Project","4287.59","5409","3948.67"
"191","Electricity Generation","Ministry of Power","602535","Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.","5281.94","5281.94","1645.11"
"192","Electricity Generation","Ministry of Power","602538","Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6","1037","1106","1143.06"
"193","Electricity Generation","Ministry of Power","602579","Buxar Thermal Power Project [1320 MW]","10439.09","13756.56","13731.77"
"194","Electricity Generation","Ministry of Power","602582","Dhaulasidh Hydro Electric Project [66 MW]","687.97","1763.31","1275.68"
"195","Electricity Generation","Ministry of Power","602593","Luhri Stage-I Hydro Electric Project [210 MW]","1810.56","4345.31","1980.59"
"196","Electricity Generation","Ministry of Power","602961","Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion","11843.75","12543","7031.31"
"197","Electricity Generation","Ministry of Power","605155","Kwar HE Project","4526.12","4526.12","1701.47"
"198","Electricity Generation","Ministry of Power","605156","Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT","938.29","1828.11","1718.16"
"199","Electricity Generation","Ministry of Power","611509","Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand","14358","14358","2229.31"
"200","Electricity Generation","Ministry of Power","611586","Sunni Dam Hydro Electric Project [382 MW]","2614.51","4555.49","1152.21"
"201","Electricity Generation","Ministry of Power","611698","240MW Heo HE Project","1938.85","1938.85","106.28"
"202","Electricity Generation","Ministry of Power","611699","186 MW Tato-I H E Project","1750.07","1750.07","79.45"
"203","Electricity Generation","Ministry of Power","611716","700 MW Tato-II HE Project","8146.21","8146.21","253.97"
"204","Electricity Generation","Ministry of Power","611930","Lara Super Thermal Power Project Stage-II [2 x 800 MW]","15530","16106","5472.13"
"205","Electricity Generation","Ministry of Power","612142","Singrauli Super Thermal Power Project, Stage-III [2x800 MW]","17195","17195","3840.48"
"206","Electricity Generation","Ministry of Power","617188","Sipat Super Thermal Power Project, Stage-III [1x800 MW]","9791","9791","1910.55"
"207","Electricity Generation","Ministry of Power","618976","Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]","20446","20446","2329.76"
"208","Electricity Generation","Ministry of Power","619051","Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]","29948","29948","3422.25"
"209","Electricity Generation","Ministry of Power","619056","Darlipali Super Thermal Power Project, Stage-II [1x800 MW]","11131","11131","566.2"
"210","Electricity Generation","Ministry of Power","619311","Kalai-II Hydro Electric Project [1200 MW]","14105.83","14105.83","189.68"
"211","Electricity Generation","Ministry of Power","619341","Telangana Super Thermal Power Project , Stage-II [3 x 800 MW]","29344.85","29344.85","732.96"
"212","Electricity Generation","Ministry of Power","709747","Bagodara Solar Power Project","339.35","339.35","370"
"213","Energy Storage","Ministry of Petroleum & Natural Gas","400012","Kandla Gorakhpur LPG Pipeline","10088","10088","8504.21"
"214","Energy Storage","Ministry of Petroleum & Natural Gas","400043","Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai]","829","829","382.47"
"215","Energy Storage","Ministry of Petroleum & Natural Gas","400301","Multi Product Pipeline from Irugur to Devangonthi","678","1732","1206.36"
"216","Energy Storage","Ministry of Petroleum & Natural Gas","604833","Andheri Residential Towers, Mumbai","281.35","389.67","281.24"
"217","Energy Storage","Ministry of Petroleum & Natural Gas","604852","Grass-root Terminal at Mirzapur, Uttar Pradesh","980.45","980.45","308.35"
"218","Energy Storage","Ministry of Petroleum & Natural Gas","617829","LPG Bottling Plant at Mualkhang","225.71","225.71","32.45"
"219","Energy Storage","Ministry of Petroleum & Natural Gas","617839","Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5 MMTPA","356.86","304.4","168.04"
"220","Energy Storage","Ministry of Petroleum & Natural Gas","619313","Setting up of 50 MW [plus/minus 5 percent] Wind Power Plant for Captive Consumption at MR","483.14","483.14","380.62"
"221","Energy Storage","Ministry of Petroleum & Natural Gas","701349","Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip","10228","12407","11168.49"
"222","Energy Storage","Ministry of Petroleum & Natural Gas","709754","Construction of LPG Facilities at Kamardanga, Assam","156.36","156.36","114.1"
"223","Energy Storage","Ministry of Petroleum & Natural Gas","709755","Setting up of new rail fed POL facility at Kamardanga, Assam","384.04","384.04","250.07"
"224","Energy Storage","Ministry of Petroleum & Natural Gas","709759","Petrochemical evacuation marketing terminal at Barmer, Rajasthan","461.05","461.05","252.18"
"225","Healthcare","Ministry of Health & Family Welfare","617882","Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New Delhi","358.19","358.19","53.73"
"226","Healthcare","Ministry of Health & Family Welfare","617883","Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar campuses of AIIMS, New Delhi","4441","4441","44.44"
